result,venue,season,win_percent_diff,draw_percent_before_team2,draw_percent_diff,lose_percent_before_team1,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team2,average_score_before_match_diff
W,Home,2010-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1500.0,0.0,0.0,0.0
D,Away,2010-2011,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,1500.0,43.75,1.0,2.0
W,Home,2010-2011,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0,1423.4472969671426,123.43423434428587,0.0,2.0
D,Away,2010-2011,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,1439.2104627295312,136.50043919693007,0.3333333333333333,1.9999999999999998
W,Home,2010-2011,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,1,1486.7699875842252,98.28692082660086,1.25,0.75
D,Away,2010-2011,0.39999999999999997,0.6,-0.19999999999999996,0.0,0.2,0.0,0.0,0.0,0,1489.3743944170844,118.32063790514394,1.2,1.0000000000000002
D,Away,2010-2011,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0,1529.9160151820745,85.97831829395841,1.2,0.6000000000000001
D,Home,2010-2011,0.0,0.4,0.19999999999999996,0.0,0.2,0.0,0.0,0.0,0,1519.7088068077771,102.24889449376337,1.6,0.19999999999999996
W,Away,2010-2011,-0.39999999999999997,0.2,0.6000000000000001,0.0,0.2,0.0,0.0,0.0,0,1450.868048306558,163.9375525649582,2.0,-0.6000000000000001
W,Home,2010-2011,-0.19999999999999996,0.2,0.39999999999999997,0.0,0.2,0.0,0.0,0.0,1,1576.420142192025,83.3758659907528,2.0,-0.19999999999999996
W,Home,2010-2011,0.2,0.2,0.39999999999999997,0.0,0.6,0.0,0.0,0.0,0,1394.4431401724737,294.0226617580879,0.8,1.0
D,Away,2010-2011,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,1,1650.4425830072826,47.73842799989029,1.8,0.40000000000000013
D,Away,2010-2011,0.39999999999999997,0.6,-0.19999999999999996,0.0,0.2,0.0,0.0,0.0,0,1523.5717749699388,178.02283683048722,1.2,1.0000000000000002
W,Home,2010-2011,0.39999999999999997,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0,1428.1887796497404,285.20098185027814,1.0,1.2000000000000002
W,Home,2010-2011,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0,1516.8719416034498,208.68486292280568,1.8,0.40000000000000013
W,Home,2010-2011,-0.20000000000000007,0.0,0.4,0.0,0.2,0.0,0.0,0.0,1,1699.7092144560847,50.41752114838437,2.4,-0.19999999999999973
W,Home,2010-2011,0.19999999999999996,0.4,0.0,0.0,0.2,0.0,1.0,0.0,0,1621.0815769834414,155.79193343711972,1.6,0.6000000000000001
D,Away,2010-2011,0.6000000000000001,0.6,-0.39999999999999997,0.0,0.2,0.0,0.0,0.0,0,1450.1756784801034,348.4258111762472,1.2,1.4000000000000001
