result,venue,season,win_percent_before_team2,win_percent_diff,draw_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team1,average_score_before_match_team2,average_score_before_match_diff
L,Away,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1500.0,0.0,0.0,0.0,0.0
W,Home,2000-2001,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,1531.25,-62.5,0.0,3.0,-3.0
W,Home,2000-2001,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1513.5456641213389,-0.6216454243024145,1.5,1.5,0.0
D,Away,2000-2001,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1,1507.8520861979623,42.63902890343297,2.0,1.3333333333333333,0.6666666666666667
D,Away,2000-2001,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0,1456.5870853082831,96.95684334842667,1.75,1.0,0.75
W,Home,2000-2001,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0,1488.420093201664,71.92480497917904,1.6,1.4,0.20000000000000018
D,Away,2000-2001,0.4,0.19999999999999996,0.2,0.4,0.0,0.0,0.0,0,1458.9951105835382,126.22138811758418,2.2,1.4,0.8000000000000003
W,Home,2000-2001,0.6,-0.19999999999999996,0.4,0.0,0.0,0.0,0.0,1,1663.109303930016,-69.18999302763882,1.8,2.2,-0.40000000000000013
W,Home,2000-2001,0.6,-0.19999999999999996,0.2,0.2,0.0,0.0,0.0,0,1565.03197366505,66.27962803606465,1.8,2.0,-0.19999999999999996
W,Away,2000-2001,0.2,0.39999999999999997,0.6,0.2,0.0,0.0,0.0,0,1441.7299929774915,214.9413859549004,2.2,1.2,1.0000000000000002
W,Home,2000-2001,0.4,0.4,0.4,0.2,0.0,0.0,0.0,1,1493.5339625936947,211.58079463700733,2.6,1.6,1.0
W,Away,2000-2001,0.2,0.6000000000000001,0.2,0.6,0.0,0.0,0.0,0,1407.521790193676,320.4225857998349,2.6,0.8,1.8
D,Home,2000-2001,0.0,1.0,0.2,0.8,0.0,0.0,0.0,0,1280.429634577566,501.4822492409321,3.0,0.2,2.8
L,Away,2000-2001,0.4,0.4,0.2,0.4,0.0,0.0,0.0,0,1418.3524681335657,341.200003876442,2.6,1.4,1.2000000000000002
L,Away,2000-2001,0.2,0.39999999999999997,0.4,0.4,0.0,0.0,0.0,0,1528.7990154012814,221.52669657307456,2.0,1.0,1.0
