date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2022-08-06,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Aston Villa,0.6,0.7,35.0,11013.0,Lloyd Kelly,3-4-3,Peter Bankes,Match Report,,3.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,L,0,4,Manchester City,0.1,1.7,33.0,53453.0,Lloyd Kelly,3-4-3,David Coote,Match Report,,1.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-08-20,17:30,Premier League,Matchweek 3,Sat,Home,L,0,3,Arsenal,0.3,1.3,43.0,10423.0,Lloyd Kelly,3-1-4-2,Craig Pawson,Match Report,,1.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Away,L,0,9,Liverpool,0.3,3.3,31.0,53328.0,Adam Smith,4-2-3-1,Stuart Attwell,Match Report,,2.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,D,0,0,Wolves,0.4,1.5,35.0,10113.0,Lloyd Kelly,4-4-2,Anthony Taylor,Match Report,,2.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,W,3,2,Nott'ham Forest,0.8,1.9,48.0,28720.0,Lloyd Kelly,4-2-3-1,Michael Oliver,Match Report,,3.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-09-17,15:00,Premier League,Matchweek 8,Sat,Away,D,1,1,Newcastle Utd,0.7,1.9,28.0,52238.0,Adam Smith,4-2-3-1,Craig Pawson,Match Report,,3.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,D,0,0,Brentford,0.4,0.9,42.0,10126.0,Adam Smith,4-4-2,Thomas Bramall,Match Report,,0.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Leicester City,1.1,1.0,45.0,10272.0,Adam Smith,4-4-2,Michael Salisbury,Match Report,,4.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
2022-10-15,15:00,Premier League,Matchweek 11,Sat,Away,D,2,2,Fulham,1.0,2.1,31.0,22541.0,Adam Smith,4-2-3-1,Graham Scott,Match Report,,6.0,0,2022-2023,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/matchlogs/all_comps/shooting/Bournemouth-Match-Logs-All-Competitions
