date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2022-08-07,14:00,Premier League,Matchweek 1,Sun,Away,D,2,2,Leicester City,0.8,0.6,44.0,31794.0,Pontus Jansson,4-3-3,Jarred Gillett,Match Report,,3.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-08-13,17:30,Premier League,Matchweek 2,Sat,Home,W,4,0,Manchester Utd,1.6,0.9,34.0,17051.0,Pontus Jansson,5-3-2,Stuart Attwell,Match Report,,7.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-08-20,15:00,Premier League,Matchweek 3,Sat,Away,L,2,3,Fulham,1.8,2.4,57.0,21798.0,Pontus Jansson,4-3-3,Peter Bankes,Match Report,,5.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,D,1,1,Everton,2.1,1.1,58.0,17009.0,Christian Nørgaard,4-3-3,John Brooks,Match Report,,5.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-08-30,19:30,Premier League,Matchweek 5,Tue,Away,D,1,1,Crystal Palace,1.4,1.0,51.0,25043.0,Ivan Toney,4-3-3,Simon Hooper,Match Report,,3.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,W,5,2,Leeds United,2.3,1.7,32.0,17092.0,Pontus Jansson,4-3-3,Robert Jones,Match Report,,7.0,1,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-09-18,12:00,Premier League,Matchweek 8,Sun,Home,L,0,3,Arsenal,0.5,1.5,37.0,17122.0,Pontus Jansson,3-5-2,David Coote,Match Report,,2.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.9,0.4,58.0,10126.0,Pontus Jansson,4-3-3,Thomas Bramall,Match Report,,4.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Away,L,1,5,Newcastle Utd,1.2,1.5,46.0,52067.0,Ivan Toney,3-5-2,John Brooks,Match Report,,2.0,1,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-10-14,20:00,Premier League,Matchweek 11,Fri,Home,W,2,0,Brighton,1.5,1.9,28.0,17016.0,Ivan Toney,4-3-3,Michael Salisbury,Match Report,,1.0,1,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
