date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2022-08-06,17:30,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,0.7,62.0,39254.0,César Azpilicueta,3-4-3,Craig Pawson,Match Report,,5.0,1.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-08-14,16:30,Premier League,Matchweek 2,Sun,Home,D,2,2,Tottenham,1.6,1.0,63.0,39946.0,Jorginho,3-5-2,Anthony Taylor,Match Report,,3.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-08-21,14:00,Premier League,Matchweek 3,Sun,Away,L,0,3,Leeds United,0.9,2.1,61.0,36372.0,Jorginho,3-5-2,Stuart Attwell,Match Report,,3.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,2,1,Leicester City,1.8,2.5,45.0,39953.0,Jorginho,4-4-2,Paul Tierney,Match Report,,4.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-08-30,19:45,Premier League,Matchweek 5,Tue,Away,L,1,2,Southampton,1.1,1.1,67.0,31542.0,César Azpilicueta,4-2-2-2,Michael Oliver,Match Report,,4.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,W,2,1,West Ham,0.9,1.1,67.0,39923.0,Thiago Silva,3-1-4-2,Andy Madley,Match Report,,3.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Crystal Palace,1.1,0.4,64.0,25198.0,Jorginho,4-2-2-2,Chris Kavanagh,Match Report,,3.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,3,0,Wolves,1.9,1.1,57.0,39940.0,César Azpilicueta,4-2-3-1,Simon Hooper,Match Report,,7.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Away,W,2,0,Aston Villa,0.9,1.8,58.0,41754.0,Thiago Silva,3-4-3,Robert Jones,Match Report,,4.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
2022-10-19,19:30,Premier League,Matchweek 12,Wed,Away,D,0,0,Brentford,0.9,1.3,66.0,17118.0,César Azpilicueta,3-5-1-1,Jarred Gillett,Match Report,,5.0,0.0,2022-2023,Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/matchlogs/all_comps/shooting/Chelsea-Match-Logs-All-Competitions
