date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2022-08-06,15:00,Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,0.8,1.3,40.0,36347.0,Patrick Bamford,4-2-3-1,Robert Jones,Match Report,,4.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,1.8,1.2,57.0,30815.0,Patrick Bamford,4-2-3-1,Tony Harrington,Match Report,,5.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-08-21,14:00,Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,2.1,0.9,39.0,36372.0,Rodrigo,4-2-3-1,Stuart Attwell,Match Report,,6.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,1.8,2.0,56.0,30953.0,Rodrigo,4-2-3-1,Michael Salisbury,Match Report,,2.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-08-30,20:00,Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,1.0,1.0,69.0,36338.0,Rodrigo,4-2-3-1,Darren England,Match Report,,5.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,1.7,2.3,68.0,17092.0,Robin Koch,4-2-3-1,Robert Jones,Match Report,,6.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-10-02,16:30,Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,0.4,2.2,44.0,36582.0,Liam Cooper,4-2-3-1,Stuart Attwell,Match Report,,1.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-10-09,14:00,Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,1.0,1.1,46.0,25042.0,Liam Cooper,4-2-3-1,Paul Tierney,Match Report,,4.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,1.8,0.5,47.0,36700.0,Liam Cooper,4-2-3-1,Chris Kavanagh,Match Report,,4.0,1,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
2022-10-20,20:15,Premier League,Matchweek 12,Thu,Away,L,0,2,Leicester City,1.3,0.8,54.0,30814.0,Patrick Bamford,4-2-3-1,Peter Bankes,Match Report,,2.0,0,2022-2023,Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/matchlogs/all_comps/shooting/Leeds-United-Match-Logs-All-Competitions
