date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2022-08-06,12:30,Premier League,Matchweek 1,Sat,Away,D,2,2,Fulham,1.2,1.2,67.0,22207.0,Jordan Henderson,4-3-3,Andy Madley,Match Report,,3.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-08-15,20:00,Premier League,Matchweek 2,Mon,Home,D,1,1,Crystal Palace,2.0,1.0,72.0,52970.0,James Milner,4-3-3,Paul Tierney,Match Report,,4.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-08-22,20:00,Premier League,Matchweek 3,Mon,Away,L,1,2,Manchester Utd,1.3,1.8,70.0,74147.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,5.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,9,0,Bournemouth,3.3,0.3,69.0,53328.0,Jordan Henderson,4-3-3,Stuart Attwell,Match Report,,12.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-08-31,20:00,Premier League,Matchweek 5,Wed,Home,W,2,1,Newcastle Utd,1.5,0.7,72.0,53316.0,Jordan Henderson,4-3-3,Andre Marriner,Match Report,,6.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-09-03,12:30,Premier League,Matchweek 6,Sat,Away,D,0,0,Everton,2.1,1.7,61.0,39240.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,,8.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,D,3,3,Brighton,1.5,1.4,54.0,53320.0,Jordan Henderson,4-3-3,Andy Madley,Match Report,,7.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-10-09,16:30,Premier League,Matchweek 10,Sun,Away,L,2,3,Arsenal,1.1,2.7,57.0,60059.0,Jordan Henderson,4-2-3-1,Michael Oliver,Match Report,,3.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-10-16,16:30,Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester City,2.1,1.0,37.0,53286.0,James Milner,4-2-3-1,Anthony Taylor,Match Report,,2.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,W,1,0,West Ham,1.7,1.7,54.0,52982.0,Jordan Henderson,4-4-2,Stuart Attwell,Match Report,,7.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-10-22,12:30,Premier League,Matchweek 13,Sat,Away,L,0,1,Nott'ham Forest,1.6,1.9,75.0,29245.0,James Milner,4-4-2,Paul Tierney,Match Report,,7.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-10-29,19:45,Premier League,Matchweek 14,Sat,Home,L,1,2,Leeds United,1.7,1.8,68.0,53274.0,Virgil van Dijk,4-1-2-1-2◆,Michael Oliver,Match Report,,10.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-11-06,16:30,Premier League,Matchweek 15,Sun,Away,W,2,1,Tottenham,1.2,1.2,53.0,62008.0,Virgil van Dijk,4-1-2-1-2◆,Andy Madley,Match Report,,6.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-11-12,15:00,Premier League,Matchweek 16,Sat,Home,W,3,1,Southampton,1.9,1.1,60.0,53331.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,,7.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-12-26,17:30,Premier League,Matchweek 17,Mon,Away,W,3,1,Aston Villa,2.7,1.4,52.0,42085.0,Jordan Henderson,4-3-3,Paul Tierney,Match Report,,9.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2022-12-30,20:00,Premier League,Matchweek 18,Fri,Home,W,2,1,Leicester City,2.2,1.0,57.0,53343.0,Jordan Henderson,4-3-3,Craig Pawson,Match Report,,5.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2023-01-02,17:30,Premier League,Matchweek 19,Mon,Away,L,1,3,Brentford,2.0,1.7,72.0,17163.0,Virgil van Dijk,4-3-3,Stuart Attwell,Match Report,,5.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2023-01-14,15:00,Premier League,Matchweek 20,Sat,Away,L,0,3,Brighton,1.0,1.9,39.0,31645.0,Jordan Henderson,4-1-2-1-2◆,Darren England,Match Report,,2.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2023-01-21,12:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Chelsea,1.4,1.6,48.0,53126.0,James Milner,4-3-3,Michael Oliver,Match Report,,3.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Away,L,0,3,Wolves,1.8,2.0,59.0,31664.0,Andrew Robertson,4-3-3,Paul Tierney,Match Report,,2.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2023-02-13,20:00,Premier League,Matchweek 23,Mon,Home,W,2,0,Everton,2.3,0.4,59.0,53027.0,Jordan Henderson,4-3-3,Simon Hooper,Match Report,,6.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
2023-02-18,17:30,Premier League,Matchweek 24,Sat,Away,W,2,0,Newcastle Utd,1.9,2.0,62.0,52758.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,7.0,0.0,2022-2023,Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/matchlogs/all_comps/shooting/Liverpool-Match-Logs-All-Competitions
