date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2022-08-06,15:00,Premier League,Matchweek 1,Sat,Away,L,1,2,Leeds United,1.3,0.8,60.0,36347.0,Rúben Neves,4-2-3-1,Robert Jones,Match Report,,6.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,D,0,0,Fulham,0.9,1.5,59.0,31178.0,Rúben Neves,4-2-3-1,John Brooks,Match Report,,1.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-08-20,12:30,Premier League,Matchweek 3,Sat,Away,L,0,1,Tottenham,0.7,1.7,50.0,61298.0,Rúben Neves,3-5-2,Simon Hooper,Match Report,,3.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-08-28,14:00,Premier League,Matchweek 4,Sun,Home,D,1,1,Newcastle Utd,0.7,1.7,37.0,31311.0,Rúben Neves,4-3-3,Peter Bankes,Match Report,,4.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Away,D,0,0,Bournemouth,1.5,0.4,65.0,10113.0,Rúben Neves,4-3-3,Anthony Taylor,Match Report,,3.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,W,1,0,Southampton,0.8,1.2,51.0,30546.0,Rúben Neves,4-3-3,John Brooks,Match Report,,2.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-09-17,12:30,Premier League,Matchweek 8,Sat,Home,L,0,3,Manchester City,0.4,1.1,41.0,31578.0,Rúben Neves,4-3-3,Anthony Taylor,Match Report,,1.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-10-01,17:30,Premier League,Matchweek 9,Sat,Away,L,0,2,West Ham,0.7,0.9,61.0,62444.0,Rúben Neves,3-4-3,Paul Tierney,Match Report,,4.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Away,L,0,3,Chelsea,1.1,1.9,43.0,39940.0,João Moutinho,4-2-3-1,Simon Hooper,Match Report,,2.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-10-15,15:00,Premier League,Matchweek 11,Sat,Home,W,1,0,Nott'ham Forest,1.3,1.5,58.0,31554.0,Rúben Neves,4-2-3-1,Thomas Bramall,Match Report,,1.0,1,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-10-18,20:15,Premier League,Matchweek 12,Tue,Away,L,1,2,Crystal Palace,0.8,1.2,49.0,25125.0,Rúben Neves,4-2-3-1,David Coote,Match Report,,4.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-10-23,14:00,Premier League,Matchweek 13,Sun,Home,L,0,4,Leicester City,2.1,0.9,60.0,31425.0,Rúben Neves,4-2-3-1,Michael Oliver,Match Report,,5.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-10-29,15:00,Premier League,Matchweek 14,Sat,Away,D,1,1,Brentford,0.6,1.4,42.0,17051.0,Rúben Neves,4-2-3-1,Robert Madley,Match Report,,4.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-11-05,15:00,Premier League,Matchweek 15,Sat,Home,L,2,3,Brighton,1.2,1.5,29.0,30732.0,Rúben Neves,4-3-3,Graham Scott,Match Report,,4.0,1,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-11-12,19:45,Premier League,Matchweek 16,Sat,Home,L,0,2,Arsenal,0.7,2.1,38.0,34624.0,João Moutinho,5-3-2,Stuart Attwell,Match Report,,2.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-12-26,15:00,Premier League,Matchweek 17,Mon,Away,W,2,1,Everton,0.8,1.7,42.0,39252.0,Rúben Neves,4-3-3,Craig Pawson,Match Report,,4.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
2022-12-31,12:30,Premier League,Matchweek 18,Sat,Home,L,0,1,Manchester Utd,0.7,2.0,46.0,31658.0,Rúben Neves,4-2-3-1,Robert Jones,Match Report,,3.0,0,2022-2023,Wolverhampton Wanderers,https://fbref.com/en/squads/8cec06e1/2022-2023/matchlogs/all_comps/shooting/Wolverhampton-Wanderers-Match-Logs-All-Competitions
