result,is_opponent_big6,draw_before_team1,history_team1_lose_team2,lose_before_team2,win_before_team2,venue_Home,opponent_Chelsea,opponent_Tottenham Hotspur
W,0,0.0,0.0,0.0,0.0,1,0,0
D,0,0.0,0.0,1.0,0.0,0,0,0
D,0,0.5,0.0,1.0,0.0,0,0,0
W,0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1,0,0
W,0,0.5,0.0,0.5,0.25,1,0,0
W,0,0.4,0.0,0.4,0.4,0,0,0
D,1,0.4,0.0,0.4,0.0,1,1,0
L,1,0.4,0.0,0.0,0.4,0,0,0
W,0,0.2,0.0,0.0,0.6,0,0,0
W,0,0.2,0.0,0.2,0.4,1,0,0
W,0,0.2,0.0,0.4,0.4,1,0,0
W,0,0.2,0.0,0.6,0.2,0,0,0
W,0,0.0,0.0,0.8,0.2,1,0,0
W,1,0.0,0.0,0.6,0.4,0,0,0
W,0,0.0,0.0,0.4,0.2,0,0,0
W,1,0.0,0.0,0.4,0.6,1,0,1
D,0,0.0,0.0,0.6,0.4,0,0,0
L,1,0.2,0.0,0.6,0.4,1,0,0
W,0,0.2,0.0,0.2,0.8,1,0,0
W,0,0.2,0.0,0.0,0.2,0,0,0
D,0,0.2,0.0,0.4,0.4,0,0,0
W,0,0.4,0.0,0.2,0.4,1,0,0
W,0,0.2,0.0,0.6,0.2,0,0,0
W,0,0.2,0.0,0.6,0.2,1,0,0
W,0,0.2,0.0,0.0,0.6,0,0,0
W,0,0.2,0.0,0.4,0.2,1,0,0
D,1,0.0,0.0,0.2,0.6,0,1,0
W,1,0.2,1.0,0.0,0.6,1,0,0
D,0,0.2,0.0,0.0,0.6,0,0,0
W,0,0.4,0.0,0.4,0.6,1,0,0
L,1,0.4,1.0,0.2,0.2,0,0,0
W,0,0.4,0.0,0.2,0.4,1,0,0
W,0,0.2,0.0,0.2,0.4,1,0,0
D,1,0.2,0.0,0.6,0.2,1,0,0
W,0,0.2,0.0,0.4,0.4,0,0,0
L,0,0.2,0.0,0.8,0.2,1,0,0
L,0,0.2,0.0,0.6,0.0,0,0,0
L,1,0.2,0.0,0.6,0.2,0,0,1
W,0,0.0,0.0,0.0,0.0,1,0,0
D,0,0.0,0.0,1.0,0.0,0,0,0
D,0,0.5,0.0,0.0,0.0,0,0,0
W,0,0.6666666666666666,0.0,0.0,0.6666666666666666,1,0,0
L,0,0.5,0.0,0.0,0.3333333333333333,0,0,0
W,0,0.4,0.0,0.4,0.2,1,0,0
W,1,0.4,0.5,0.6,0.4,0,0,1
W,0,0.2,0.0,0.2,0.4,0,0,0
L,0,0.0,0.0,0.6,0.0,1,0,0
D,0,0.0,0.0,0.0,0.6,1,0,0
L,1,0.2,1.0,0.0,0.8,0,0,0
W,0,0.2,0.0,0.6,0.2,1,0,0
L,1,0.2,0.5,0.2,0.2,0,0,0
L,1,0.2,0.0,0.2,0.2,1,1,0
L,0,0.2,0.0,0.6,0.0,1,0,0
W,0,0.0,0.5,0.6,0.4,1,0,0
W,0,0.0,0.0,0.2,0.4,0,0,0
W,0,0.0,0.5,0.4,0.6,1,0,0
W,0,0.0,0.0,0.6,0.4,0,0,0
W,0,0.0,0.0,0.2,0.2,0,0,0
W,0,0.0,0.3333333333333333,0.2,0.8,1,0,0
W,0,0.0,0.3333333333333333,0.4,0.6,0,0,0
W,0,0.0,0.0,0.6,0.4,1,0,0
L,1,0.0,1.0,0.2,0.0,1,0,0
W,0,0.0,1.0,0.2,0.0,0,0,0
W,0,0.0,0.0,0.6,0.0,1,0,0
W,0,0.0,0.0,0.4,0.4,0,0,0
W,0,0.0,0.0,0.0,0.4,1,0,0
D,0,0.0,0.3333333333333333,0.6,0.4,0,0,0
W,1,0.2,0.3333333333333333,0.4,0.4,1,0,1
W,0,0.2,0.3333333333333333,0.4,0.6,0,0,0
L,0,0.2,0.0,0.4,0.4,1,0,0
W,0,0.2,0.0,0.0,0.6,0,0,0
W,0,0.2,0.0,0.4,0.2,0,0,0
W,1,0.0,0.3333333333333333,0.2,0.4,0,1,0
W,0,0.0,0.0,0.6,0.2,0,0,0
L,1,0.0,0.6666666666666666,0.0,1.0,1,0,0
D,0,0.0,0.0,0.6,0.0,1,0,0
W,0,0.0,0.0,0.0,0.0,1,0,0
D,1,0.0,0.25,0.0,1.0,0,1,0
D,0,0.5,0.0,0.3333333333333333,0.3333333333333333,0,0,0
W,0,0.6666666666666666,0.25,0.0,0.3333333333333333,1,0,0
L,0,0.5,0.5,0.6666666666666666,0.3333333333333333,1,0,0
L,0,0.4,0.0,0.4,0.6,0,0,0
W,1,0.4,0.25,0.2,0.8,1,0,1
W,0,0.2,0.0,0.6,0.2,0,0,0
W,0,0.0,0.0,0.6,0.4,1,0,0
D,0,0.0,0.0,0.2,0.6,0,0,0
D,0,0.2,0.0,0.6,0.2,1,0,0
W,0,0.4,0.25,0.0,0.6,1,0,0
L,1,0.4,0.0,0.6,0.4,0,0,0
D,0,0.4,0.25,0.6,0.4,0,0,0
W,0,0.6,0.25,0.4,0.6,1,0,0
W,1,0.4,1.0,0.4,0.4,0,0,0
W,1,0.2,0.75,0.2,0.8,1,0,0
W,0,0.2,0.2,0.6,0.0,1,0,0
L,0,0.2,0.0,0.6,0.2,0,0,0
L,0,0.0,0.2,0.4,0.2,0,0,0
W,0,0.0,0.0,0.2,0.2,1,0,0
W,0,0.0,0.0,0.6,0.2,1,0,0
W,0,0.0,0.0,0.8,0.0,0,0,0
W,1,0.0,0.2,0.4,0.4,1,1,0
W,0,0.0,0.2,0.2,0.6,0,0,0
W,0,0.0,0.0,0.8,0.0,0,0,0
D,1,0.0,0.3333333333333333,0.4,0.4,1,0,0
D,0,0.2,0.6666666666666666,0.4,0.2,0,0,0
W,0,0.4,0.2,0.6,0.2,1,0,0
W,0,0.4,0.0,0.6,0.4,0,0,0
W,0,0.4,0.0,0.0,0.6,1,0,0
W,1,0.4,0.8,0.2,0.6,1,0,0
W,0,0.2,0.2,0.4,0.6,0,0,0
D,1,0.0,0.6,0.2,0.6,0,0,0
W,0,0.2,0.3333333333333333,0.2,0.8,1,0,0
W,1,0.2,0.2,0.4,0.4,0,0,1
W,0,0.2,0.0,0.8,0.2,1,0,0
W,0,0.2,0.0,0.6,0.4,0,0,0
W,0,0.0,0.5,0.0,0.0,1,0,0
W,0,0.0,0.1666666666666666,0.0,0.0,0,0,0
W,0,0.0,0.0,1.0,0.0,1,0,0
L,0,0.0,0.1666666666666666,0.0,0.0,0,0,0
W,0,0.0,0.0,0.25,0.25,0,0,0
D,1,0.0,0.5,0.0,0.8,1,0,0
W,0,0.2,0.0,0.6,0.2,0,0,0
W,0,0.2,0.0,0.0,0.6,1,0,0
W,0,0.2,0.1666666666666666,0.6,0.4,0,0,0
L,0,0.2,0.0,0.2,0.4,1,0,0
W,0,0.2,0.0,0.8,0.2,1,0,0
W,1,0.0,0.6666666666666666,0.6,0.4,0,0,0
W,0,0.0,0.25,0.8,0.2,1,0,0
L,1,0.0,0.1666666666666666,0.2,0.8,0,1,0
W,0,0.0,0.0,0.4,0.2,1,0,0
W,1,0.0,0.25,0.6,0.2,1,0,0
W,1,0.0,0.1666666666666666,0.6,0.4,0,0,1
W,0,0.0,0.0,0.2,0.6,1,0,0
W,0,0.0,0.3333333333333333,0.0,0.2,0,0,0
W,0,0.0,0.4,0.4,0.2,0,0,0
D,0,0.0,0.1428571428571428,0.2,0.4,1,0,0
L,0,0.2,0.0,0.6,0.2,0,0,0
W,0,0.2,0.2857142857142857,0.6,0.2,1,0,0
W,0,0.2,0.0,0.4,0.2,0,0,0
L,0,0.2,0.2857142857142857,0.4,0.4,1,0,0
D,0,0.2,0.1428571428571428,0.8,0.2,1,0,0
